operation,size,time
insert,19,0.012708000000003494
insert,19,0.011249999999989768
insert,19,0.010957999999988033
insert,19,0.015500000000002956
insert,19,0.014250000000004093
insert,20,0.028750000000002274
insert,20,0.01474999999999227
insert,20,0.03387500000002319
insert,20,0.02200000000001978
insert,20,0.023208000000010998
insert,20,0.01474999999999227
insert,20,0.016041000000001304
insert,21,0.013999999999981583
insert,21,0.021917000000001963
insert,21,0.02600000000001046
insert,21,0.015417000000013559
insert,21,0.015375000000005912
insert,21,0.0171659999999747
insert,21,0.016958000000016682
insert,22,0.01866699999999355
insert,22,0.013958000000002357
insert,22,0.022625000000005002
insert,22,0.018416000000001986
insert,22,0.01958299999998303
insert,22,0.02179200000000492
insert,23,0.01675000000000182
insert,23,0.015125000000011823
insert,23,0.018665999999996075
insert,23,0.01620900000000347
insert,23,0.01870800000000372
insert,23,0.017208999999979824
insert,24,0.02108400000000188
insert,24,0.7245420000000138
insert,24,0.016542000000015378
insert,24,0.015667000000007647
insert,24,0.017166000000003123
insert,24,0.018208000000015545
insert,25,0.01849999999998886
insert,25,0.018541999999996506
insert,25,0.017750000000006594
insert,25,0.016833000000019638
insert,25,0.018541999999996506
insert,25,0.027208000000001675
insert,26,0.018833000000000766
insert,26,0.019000000000005457
insert,26,0.019874999999984766
insert,26,0.01824999999999477
insert,26,0.01870800000000372
insert,27,0.02087499999998954
insert,27,0.020583000000016227
insert,27,0.04066699999998491
insert,27,0.02049999999999841
insert,27,0.022750000000002046
insert,28,0.01866699999999355
insert,28,0.02137500000000614
insert,28,0.02174999999999727
insert,28,0.02058399999998528
insert,28,0.019166999999981726
insert,29,0.021457999999995536
insert,29,0.022167000000024473
insert,29,0.022792000000009693
insert,29,0.023833999999993694
insert,29,0.02174999999999727
insert,30,0.022750000000002046
insert,30,0.022125000000016826
insert,30,0.06725000000000136
insert,30,0.02225000000001387
insert,30,0.022374999999982492
insert,31,0.024249999999994998
insert,31,0.023334000000005517
insert,31,0.021457999999995536
insert,31,0.022333000000003267
insert,31,0.02333299999997962
insert,32,0.025000000000005684
insert,32,0.005750000000006139
insert,32,0.0051660000000026685
insert,32,0.005415999999996757
insert,33,0.0050420000000030996
insert,33,0.004750000000001364
insert,33,0.00462500000000432
insert,33,0.004416999999989457
insert,34,0.004583999999994148
insert,34,0.005249999999989541
insert,34,0.005124999999992497
insert,34,0.004792000000009011
insert,34,0.004750000000001364
insert,35,0.0050420000000030996
insert,35,0.004958999999985281
insert,35,0.004833000000019183
insert,35,0.00533300000000736
insert,36,0.0052080000000103155
insert,36,0.005374999999986585
insert,36,0.006000000000000227
insert,36,0.005249999999989541
insert,37,0.005541999999991276
insert,37,0.005291999999997188
insert,37,0.005334000000004835
insert,37,0.005540999999993801
insert,38,0.005790999999987889
insert,38,0.005708999999995967
insert,38,0.005708999999995967
insert,39,0.005500000000012051
insert,39,0.006292000000001963
insert,39,0.005583000000001448
insert,39,0.005875000000003183
insert,40,0.005625000000009095
insert,40,0.005625000000009095
insert,40,0.005500000000012051
insert,40,0.006416999999999007
insert,41,0.00566699999998832
insert,41,0.0060829999999896245
insert,41,0.005916000000013355
insert,42,0.00591700000001083
insert,42,0.006042000000007874
insert,42,0.005915999999984933
insert,43,0.006874999999979536
insert,43,0.006292000000001963
insert,43,0.006458000000009179
insert,43,0.006249999999994316
insert,44,0.006624999999985448
insert,44,0.006458000000009179
insert,44,0.006500000000016826
insert,45,0.0063750000000197815
insert,45,0.0071659999999837964
insert,45,0.006875000000007958
insert,46,0.006915999999989708
insert,46,0.007000000000005002
insert,46,0.006583000000006223
insert,47,0.007000000000005002
insert,47,0.007167000000009693
insert,47,0.007167000000009693
insert,48,0.007040999999986752
insert,48,0.00766699999999787
insert,48,0.007125000000002046
insert,49,0.007167000000009693
insert,49,0.006749999999982492
insert,49,0.0072079999999914435
insert,50,0.007457999999985532
insert,50,0.006458000000009179
insert,50,0.006666999999993095
insert,51,0.006790999999992664
insert,51,0.006874999999979536
insert,51,0.006708000000003267
insert,52,0.00837500000000091
insert,52,0.0074160000000063064
insert,52,0.006791999999990139
insert,53,0.006957999999997355
insert,53,0.006750000000010914
insert,54,0.008125000000006821
insert,54,0.024792000000019243
insert,54,0.006666999999993095
insert,55,0.007082999999994399
insert,55,0.006416999999999007
insert,55,0.007124999999973625
insert,56,0.006457999999980757
insert,56,0.006833000000000311
insert,57,0.006709000000000742
insert,57,0.006790999999992664
insert,57,0.006792000000018561
insert,58,0.006708000000003267
insert,58,0.17116599999999949
insert,59,0.006791999999990139
insert,59,0.006833000000000311
